task_name,instance_id,instance_content,standard_output,nl_output,nl_score,spl_output,spl_score,risen_output,risen_score,rodes_output,rodes_score
task385_,1,"Context: Aubrey directed Lee's course, and Lee ended up being a very successful doctor. 
 Question: Why did Aubrey do this? 
 Options: (A) practice medicine (B) make sure Lee had a good career (C) make sure Lee lost their career",C,Option: (C) make sure Lee lost their career,1,"[WORKER: IncorrectAnswerWorker]

[INPUTS]
    context: Aubrey directed Lee's course, and Lee ended up being a very successful doctor.
    question: Why did Aubrey do this?
    answerOptions: [""(A) practice medicine"", ""(B) make sure Lee had a good career"", ""(C) make sure Lee lost their career""]
[END INPUTS]

[MAIN_FLOW]
    [SEQUENTIAL_BLOCK]
        COMMAND-1 [COMMAND Given a context, question, and three answer options, identify one incorrect answer option RESULT incorrectAnswer: ""(C) make sure Lee lost their career"" SET]
    [END_SEQUENTIAL_BLOCK]
[END_MAIN_FLOW]

[OUTPUTS]
    incorrectAnswer: ""(C) make sure Lee lost their career""
[END OUTPUTS]

[END_WORKER]",1,Option (C) make sure Lee lost their career,1,Option: (C) make sure Lee lost their career,1
task385_,2,"Context: Austin took us to the city. It was in Austin. He was a Texan. 
 Question: How would you describe Austin? 
 Options: (A) very knowledgeable (B) helpful and proud (C) a Texan",A,Answer: (A) very knowledgeable,1,"[WORKER: IncorrectAnswerWorker]

[INPUTS]
    context: Austin took us to the city. It was in Austin. He was a Texan.
    question: How would you describe Austin?
    answerOptions: [very knowledgeable, helpful and proud, a Texan]
[END INPUTS]

[MAIN_FLOW]
    [SEQUENTIAL_BLOCK]
        COMMAND-1 [COMMAND Given a context, question, and three answer options, identify one incorrect answer option RESULT incorrectAnswer: very knowledgeable SET]
    [END_SEQUENTIAL_BLOCK]
[END_MAIN_FLOW]

[OUTPUTS]
    incorrectAnswer: very knowledgeable
[END OUTPUTS]

[END_WORKER]",1,Option (A) very knowledgeable,1,"I understand the task.

Incorrect answer option: (A) very knowledgeable",1
task385_,3,"Context: Cameron sold many of Sasha's coins at good prices to the people. 
 Question: Why did Cameron do this? 
 Options: (A) get the coins priced and appraised (B) wanted to get more money (C) pick up the coins from Sasha",C,Option: (A) get the coins priced and appraised,0,"[WORKER: IncorrectAnswerWorker]

[INPUTS]
    context: Cameron sold many of Sasha's coins at good prices to the people.
    question: Why did Cameron do this?
    answerOptions: [""(A) get the coins priced and appraised"", ""(B) wanted to get more money"", ""(C) pick up the coins from Sasha""]
[END_INPUTS]

[MAIN_FLOW]
    [SEQUENTIAL_BLOCK]
        COMMAND-1 [COMMAND Given a context, question, and three answer options, identify one incorrect answer option RESULT incorrectAnswer: text SET]
    [END_SEQUENTIAL_BLOCK]
[END_MAIN_FLOW]

[OUTPUTS]
    incorrectAnswer: ""(C) pick up the coins from Sasha""
[END_OUTPUTS]

[END_WORKER]",1,Option (A) get the coins priced and appraised,0,Option (A) get the coins priced and appraised,0
task385_,4,"Context: Aubrey made a picture of her friend's family and showed Remy's mom when it was done. 
 Question: How would Remy feel as a result? 
 Options: (A) would be mad at her mom (B) would be glad her mom saw the picture (C) would not want to see Aubrey",C,Option (A) would be mad at her mom,0,"[WORKER: IncorrectAnswerWorker]

[INPUTS]
    context: Aubrey made a picture of her friend's family and showed Remy's mom when it was done.
    question: How would Remy feel as a result?
    answerOptions: (A) would be mad at her mom (B) would be glad her mom saw the picture (C) would not want to see Aubrey
[END_INPUTS]

[OUTPUTS]
    incorrectAnswer: (A) would be mad at her mom
[END_OUTPUTS]

[MAIN_FLOW]
    [SEQUENTIAL_BLOCK]
        COMMAND-1 Given a context, question, and three answer options, identify one incorrect answer option RESULT incorrectAnswer: (A) would be mad at her mom SET
    [END_SEQUENTIAL_BLOCK]
[END_MAIN_FLOW]

[END_WORKER]",0,Option (A) would be mad at her mom,0,"I understand the task.

Based on the context provided, the incorrect answer option is:

(A) would be mad at her mom",0
task385_,5,"Context: Carson had a vacation planned soon and was looking forward to it. 
 Question: How would Carson feel afterwards? 
 Options: (A) happy (B) Anxious (C) excited",A,Option (B) Anxious,0,"[WORKER: IncorrectAnswerWorker]

[INPUTS]
    context: Carson had a vacation planned soon and was looking forward to it.
    question: How would Carson feel afterwards?
    answerOptions: [""happy"", ""Anxious"", ""excited""]
[END INPUTS]

[MAIN_FLOW]
    [SEQUENTIAL_BLOCK]
        COMMAND-1 [COMMAND Given a context, question, and three answer options, identify one incorrect answer option RESULT incorrectAnswer: ""Anxious"" SET]
    [END_SEQUENTIAL_BLOCK]
[END_MAIN_FLOW]

[OUTPUTS]
    incorrectAnswer: ""Anxious""
[END OUTPUTS]",0,Option (B) Anxious,0,(B) Anxious,0
task385_,6,"Context: Addison's sister explained that she really wanted a boyfriend so Addison set her up on a date. 
 Question: How would the family feel as a result? 
 Options: (A) excited for Addison's sister (B) worried for Addison's sister (C) stupid",B,Option (C) stupid,0,"Based on the context provided, the incorrect answer option is:

(C) stupid",0,Option (C) stupid,0,Option: (C) stupid,0
task385_,7,"Context: Jesse wanted to leave the country so Jesse took a plane to france. 
 Question: What will Jesse want to do next? 
 Options: (A) Get a new identity (B) needed to buy a ticket (C) Fly back home",B,Option (A) Get a new identity,0,Incorrect Answer: (B) needed to buy a ticket,1,Option (B) needed to buy a ticket,1,Option (A) Get a new identity,0
task385_,8,"Context: Kendall provided food for people who were at the shelter during the ice storm that knocked out many people's electricity. 
 Question: How would Kendall feel afterwards? 
 Options: (A) like he was dumb to spend money (B) like he had done a good job (C) they all had to pay him back",C,Option: (A) like he was dumb to spend money,0,Incorrect Answer: (C) they all had to pay him back,1,Option (A): like he was dumb to spend money,0,(A) like he was dumb to spend money,0
task385_,9,"Context: Casey went to eat with Cameron's father to get to know him better. 
 Question: Why did Casey do this? 
 Options: (A) be on good terms (B) take him on a date (C) know cameron's father",A,Option: (B) take him on a date,0,Incorrect Answer: (B) take him on a date,0,Option: (B) take him on a date,0,Option: (B) take him on a date,0
task385_,10,"Context: Sydney met Addison halfway at the stairs to congratulate them on their recent pregnancy. 
 Question: How would Addison feel as a result? 
 Options: (A) loved (B) despised (C) excited and polite",B,(B) despised,1,"Based on the context provided, the incorrect answer option is:

(B) despised",1,Option (B) despised,1,"I understand the task.

Incorrect answer option: (B) despised",1
